r_f_1,r_f_2,r_f_3,r_f_4,s_f_1,s_f_2,s_f_3,s_f_4
-5.526203616726592,-2.8792264191676984,-6.46493398067303,9.201899637231264,-5.652368907652109,-3.2073450663850394,-7.034661178625697,3.0621448801085647
-5.844187991303328,-3.1902373951061804,-1.5570953763692286,3.969231622780864,-6.3094365772041145,-3.2371882991986998,-2.1284651963313594,3.1973281561704976
-5.466146036599835,-3.42374012318659,-2.089775879714889,5.219990138226998,-6.324224064291268,-3.3648647387411312,-1.3732954251749154,6.187939757303715
-5.815726570766444,-2.9748270649772417,-5.323061125685989,4.398929527962319,-6.01406483346673,-3.2025019757403674,-6.218701399968077,2.8463614105593336
-6.126873701377008,-3.202163337996194,-6.039191371945246,2.5444394022859402,-6.085875770678777,-3.1957401613255936,-5.85405618283858,2.710869104297828
-5.146920170518216,-3.2745588327882365,-4.01632880358086,9.513150838072015,-6.1414273934293,-3.3924163141850694,-5.450592652725724,7.575496957979838
-4.810965062074579,-3.012373934943615,-3.6139911771694226,2.685844679240097,-6.218007056742145,-3.090224237854911,-4.561389608255849,1.4059349853550036
-6.084563306047548,-2.8677440062024817,-3.794627555766231,1.123896440966472,-6.225927307268182,-2.9345386157291564,-4.4329880344348425,0.2516129946135046
-5.3486512886953745,-2.9817569625380442,-3.0986362984391693,8.897787736471756,-6.027066184203818,-3.2441778953642104,-6.162168728792905,3.5346618110979566
-6.277047326103918,-3.1281323346765872,-4.201968360882802,0.6047909177537932,-6.263483335266011,-3.08416027257664,-3.666853358118101,1.3277203145248677
-5.320288211068394,-2.9369466252964127,-3.242683490011241,2.522945243051065,-6.226186696641966,-3.034398384620553,-4.428621560660188,0.9207748409576972
-5.00458838156006,-3.1393974299023095,-3.831817809530293,7.304393014711125,-6.09643073560953,-3.300101125032109,-5.787497434330623,4.662319503900943
-6.104803963101919,-2.9564202357196265,-2.594000014896614,7.634840333081569,-6.274979635530164,-3.2292070538551654,-3.3624660127356707,3.09938178069466
-6.035330148157985,-2.9666051449306274,-6.126294210909302,0.7910603884260733,-6.035116018623819,-3.0076906042529403,-6.125327279809353,0.7741669542877279
-4.9801891108835585,-2.9318427372551756,-1.2064636477289525,4.577524277780265,-6.2732932374375885,-3.1128928590139964,-3.409748828741958,1.600942277256475
-5.904263062104188,-3.4358158211241316,-2.8637239697718746,6.983121020034322,-6.3024345471713605,-3.400121580287625,-2.429345260285494,7.569957509741616
-5.0114449457645645,-3.27369208185492,-5.954733559769849,6.2015143866459015,-5.917073993069072,-3.322670354612621,-6.550773514265704,5.396279617546853
-5.059962815299435,-2.8714341850214673,-6.419231717575945,4.677460165533564,-5.263290321156819,-3.1927727891234627,-7.337401856110855,2.9455376677420104
-4.917401779108085,-3.190597024902192,-3.2673751942365348,0.23755957168562303,-6.305739038660565,-3.110387098821675,-2.291265344677262,1.556263062020815
-5.269198779426827,-2.8977377144160448,-1.5633941337827428,8.589546587086483,-6.137470074966525,-3.2277860599228534,-5.484265127240493,3.18102040928805
-5.290034944972367,-3.295124162326525,-1.9820479479248938,2.0532450032928518,-6.326938205772173,-3.231946207980906,-1.213208216413583,3.0919317350834
-5.0182730128835065,-3.402996425683247,-1.572997499834269,1.5957204847987825,-6.339999984359904,-3.2708549188805978,-0.32111231897169557,3.7682129426001456
-5.7435162755703395,-3.253124481731391,-2.5362000867058176,1.7321472182914075,-6.314613110125833,-3.199563621769654,-1.8843950884645748,2.6127226637328316
-5.709952702074991,-3.436563488886291,-5.615287962454271,4.085531498020866,-6.224125462841375,-3.341879077007502,-4.463029317048831,5.642204874457952
-6.171585233635354,-3.0664356318384307,-4.7685537422146975,7.035351199339517,-6.195740952118406,-3.2259850193999546,-4.877634297092527,3.1113399770830537
-5.300353042401253,-3.1855762182213305,-1.27263876948901,6.13171063975162,-6.297979018621438,-3.2950876243821825,-2.6053364290026497,4.331271728090959
-5.051663780150984,-3.238341112875333,-3.5964545001804886,1.904079785613108,-6.284200779748792,-3.196378623335695,-3.085794877199162,2.5939704642794776
-4.756135507711382,-3.296502876059267,-5.655691585309402,0.7099437021923699,-6.232088897063587,-3.1872640467418933,-4.326313814021449,2.5059012490274237
-5.930093040795189,-2.9897541657990088,-2.489124162495476,1.2481301594765435,-6.291566944710921,-3.0185898999403062,-2.8400426178558247,0.7740519388526379
-5.741780782729331,-3.191656377175697,-2.7254131111211217,4.422510941524363,-6.272291165719576,-3.2501617094740407,-3.4373935271307365,3.4606451403508354
-5.407435860347405,-2.944586083870724,-2.2839194779571805,3.5405704560330213,-6.251670443754491,-3.080740244436636,-3.940845496704153,1.3021073422623837
-5.62704986814227,-3.223057253882896,-6.712105112431917,1.9714429776477467,-6.006441617639194,-3.185105709139337,-6.250255257385376,2.5953911150529247
-5.888747682578831,-3.254661001594642,-5.252316373672848,5.593987247653634,-6.085329192467777,-3.3043819474021965,-5.857394220412112,4.776542472315405
-4.79501293876459,-2.982948160394998,-1.8196582521192584,7.364904455233925,-6.196157572711035,-3.233788110623218,-4.872248869786221,3.2409321776781512
-5.390789508467227,-2.8985615682691614,-2.548455483889959,4.853457378147648,-6.184852443361054,-3.101008347011907,-5.012127035896311,1.5251004125923822
-6.217436744484143,-3.1518149560195408,-5.9718734534564,1.2871540862038362,-6.127464081247771,-3.1235365539505335,-5.565582041803992,1.782985610267973
-5.535356773178297,-2.976799677367794,-5.3818537406563705,7.457086071118914,-5.836891425319968,-3.2145194968782964,-6.743500088603178,3.1115866231410623
-5.504249058172016,-3.3520616662112794,-0.5715315982254978,3.8958713717186195,-6.339999987543212,-3.3093908130691077,-0.3211120731298083,4.597407965046261
-5.870577533496314,-2.9402709613260996,-6.606374812538855,7.115827472414923,-5.879706284498571,-3.2146055113863645,-6.647597691172435,3.095559681964496
-6.041358659320905,-3.2084298521525763,-5.834958872641846,8.159911529116153,-6.068282341482412,-3.237687666456382,-5.9565387358490725,3.3937783494242284
-5.71978146241562,-2.8649312403994496,-3.010622541899534,6.728141496618277,-6.178711205564497,-3.2174532731522736,-5.083021288175692,2.98617481188994
-5.510775055809456,-3.257708762545401,-4.659904896843562,9.127061620320447,-6.034826725972266,-3.378237558246508,-6.126676889155421,7.14548962905364
-6.020086910847783,-2.856950848280075,-2.0553639108125834,3.4899331869783192,-6.279616419490571,-3.137171104845423,-3.227326911539061,1.8557197141662591
-5.319993392686091,-3.2152208918170784,-4.760880743645375,4.886888616886937,-6.142927516902891,-3.2708281713514764,-5.437592550805127,3.9726686838489185
-6.31341071359975,-3.1487927796333963,-0.5239233914513441,2.7690127192201106,-6.335897176410015,-3.195037692014452,-0.6254662973927392,2.5294105832703044
-5.150333445068187,-3.1787545548584077,-5.9973621140043,8.778524936935856,-5.42588492833963,-3.283996664901313,-7.241675635796805,4.660869789027143
-6.313244617358461,-3.2609297333062885,-0.3269941649141286,2.542823923042898,-6.339999980645064,-3.230168702475424,-0.3211126058630791,3.048555309253029
-4.990019210243758,-3.0826469422931346,-1.7126636199552525,6.114082227801738,-6.261646415993735,-3.246925413113452,-3.7118472345772497,3.4132370877602485
-5.763311997278021,-2.9911346170957454,-7.3098409388694785,4.334085631824183,-5.69146207030164,-3.2084479508060357,-6.985386658055396,3.0666747364172924
-5.748751233906531,-3.158526336673964,-6.583683470958221,2.1583165996788427,-5.922179385115425,-3.154644094834172,-6.536439088204429,2.222143202384963
-5.446337971741462,-3.211216221762987,-1.815908443861355,5.86982491599189,-6.290326940146862,-3.298910890858083,-2.8831077860757572,4.428067377061053
-4.9705859711886795,-3.0079071059778935,-3.1789076450935037,2.7898713413011578,-6.2389630850860005,-3.091777373706003,-4.199566070584087,1.4109895018864012
-5.095410855997392,-3.291752128879062,-6.959984217172576,9.33978641089931,-5.186803613643787,-3.3271822609723207,-7.372688229425219,5.973068154105658
-5.481382183896614,-2.9834023644456114,-3.7001802412140146,5.932323384606668,-6.026825258598953,-3.186175980712779,-6.16324902001733,2.6016175343602015
-6.286111321678755,-3.329791729181253,-2.6557301407782976,5.534476600139232,-6.2955102275427794,-3.3346807555016986,-2.6981731512652622,5.3239113480864
-6.087897495961126,-2.878302731451551,-6.391740918309637,4.949941522465248,-6.0320481731451245,-3.217810289761434,-6.139540975093956,3.0775721594979943
-6.11103542871938,-3.0167506815973217,-5.516072558796804,1.3010995586812977,-6.125462745082492,-3.0625294725486896,-5.581222335969278,1.1892211596888225
-6.26688038273388,-3.336847032640402,-6.122885213924794,5.208629171846388,-6.133231353042412,-3.2911392269854014,-5.519363525981552,4.420062786183352
-5.622848170987488,-2.875196323320413,-0.6491934012975076,7.726497271543774,-6.267659639002711,-3.223809354412072,-3.5609822270183704,3.0189345779130745
-5.272175661970682,-2.9414363759746758,-0.7597618715144288,0.21939197020392667,-6.334264371048688,-2.939813176841857,-0.7400140867884124,0.24607848452006897
-6.152212688830135,-3.2274443080366506,-6.828046395154134,5.815387388616788,-6.015721754095092,-3.2247396986345955,-6.211691426789634,3.2001476038918293
-5.926020886466507,-3.284039559811928,-5.429805041508326,0.9478418785685834,-6.235401126361369,-3.1884316153515484,-4.266307972687281,2.519698795641428
-5.1618983193513275,-3.0561032665362067,-3.1452719091957357,0.33024214809442165,-6.2933385939682385,-3.025861489434437,-2.777248216951544,0.8274367172512638
-5.657152010024185,-3.0357298819590928,-6.37743105369225,3.740881093178243,-5.766959465721812,-3.1905947037592104,-6.873290851440324,2.7647695205235325
-6.3084637087028,-3.391703781724427,-5.945863295606793,4.022106563070111,-6.176712302193021,-3.322638910826733,-5.105380488023513,5.157578014311766
-5.603448342303066,-2.9181322963453136,-5.226392385190584,0.2081995998887563,-6.163578173285457,-2.919597267248137,-5.244221457705828,0.18411460080757847
-5.026304878633847,-3.403510308129592,-6.832317492685201,9.342862652375429,-5.715337479454554,-3.41339081674934,-6.952558227780906,9.180420545467857
-5.14214898517591,-3.2406660203602393,-6.550955917174175,3.7512865597670566,-5.889458904511961,-3.2466369704014197,-6.623619399475563,3.6531202390799136
-5.800680120479524,-2.924079691148941,-4.4933533356851925,0.7958365583515337,-6.200118275045003,-2.950930399559159,-4.820113675729856,0.35439347942467436
-4.866379728249848,-3.0728351154079965,-6.662023228312404,1.0977893524502966,-5.918643490179423,-3.0633337887656964,-6.546397240063191,1.2539973672109141
-5.59916614654882,-3.3856675102434215,-2.9640192599841946,5.978922773620629,-6.294700735489611,-3.3662669201426767,-2.7279256614248144,6.29788104896387
-6.288990655697136,-2.963620559185636,-1.850813616454401,8.878490205568491,-6.31306403779185,-3.231455499547026,-1.959522512532696,3.098807797638516
-5.274212431685822,-3.0312112829222184,-6.324334921026255,0.23172149559447355,-6.067273977692909,-3.0014467632929893,-5.962117117358135,0.7210696520226252
-6.2357545876547125,-2.870967809305389,-2.8637205952818316,9.184994664986052,-6.284291774196453,-3.2287708350371647,-3.0829011409368876,3.0836511670284183
-5.784478869393368,-2.994419269769766,-7.030435428703233,1.6121901062518202,-5.754253893337102,-3.1099658808736685,-6.893947828834215,1.7510198037608018
-5.899357997553536,-3.1153122314965627,-3.497804240947266,4.840168587378044,-6.200707263168491,-3.223320836327657,-4.812212867348837,3.0644367253439695
-5.665102900434997,-3.100333955399932,-0.5593640011153216,4.443371736715356,-6.315391388552106,-3.2060556838790593,-1.8459440781723817,2.7052376175346424
-5.0084204393405365,-3.407035540631196,-4.731483493088186,5.436815503331271,-6.240771989046474,-3.3604659126064966,-4.1647560122053395,6.202450492427413
-5.35369031650865,-3.292489179440113,-4.6330905231662465,9.185959836736194,-6.09042275712029,-3.3905039939009822,-5.825879490568747,7.574532331350228
